estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal,measured in ft,test1: stopsign longitudinal left
,,0.9144000000000001,2.7432000000000003,,
,,0.8382000000000001,2.7432000000000003,,
,,0.762,2.7432000000000003,,
,,0.6858000000000001,2.7432000000000003,,
,,0.6096,2.7432000000000003,,
,,0.5334,2.7432000000000003,,
,,0.45720000000000005,2.7432000000000003,,
,,0.381,2.7432000000000003,,
,,0.3048,2.7432000000000003,,
,,0.22860000000000003,2.7432000000000003,,
,,0.1524,2.7432000000000003,,
,,0.0762,2.7432000000000003,,
,,0.0,2.7432000000000003,,
,,-0.0762,2.7432000000000003,,
,,-0.1524,2.7432000000000003,,
,,-0.22860000000000003,2.7432000000000003,,
,,-0.3048,2.7432000000000003,,
,,-0.381,2.7432000000000003,,
,,-0.45720000000000005,2.7432000000000003,,
,,-0.5334,2.7432000000000003,,
,,-0.6096,2.7432000000000003,,
,,-0.6858000000000001,2.7432000000000003,,
,,-0.762,2.7432000000000003,,
,,-0.8382000000000001,2.7432000000000003,,
,,-0.9144000000000001,2.7432000000000003,,
,,0.9144000000000001,2.4384,,
,,0.8382000000000001,2.4384,,
,,0.762,2.4384,,
,,0.6858000000000001,2.4384,,
,,0.6096,2.4384,,
,,0.5334,2.4384,,
,,0.45720000000000005,2.4384,,
,,0.381,2.4384,,
,,0.3048,2.4384,,
,,0.22860000000000003,2.4384,,
,,0.1524,2.4384,,
,,0.0762,2.4384,,
,,0.0,2.4384,,
,,-0.0762,2.4384,,
,,-0.1524,2.4384,,
,,-0.22860000000000003,2.4384,,
,,-0.3048,2.4384,,
,,-0.381,2.4384,,
,,-0.45720000000000005,2.4384,,
,,-0.5334,2.4384,,
,,-0.6096,2.4384,,
,,-0.6858000000000001,2.4384,,
,,-0.762,2.4384,,
,,-0.8382000000000001,2.4384,,
,,-0.9144000000000001,2.4384,,
,,0.9144000000000001,2.1336,,
,,0.8382000000000001,2.1336,,
,,0.762,2.1336,,
,,0.6858000000000001,2.1336,,
,,0.6096,2.1336,,
,,0.5334,2.1336,,
,,0.45720000000000005,2.1336,,
,,0.381,2.1336,,
,,0.3048,2.1336,,
,,0.22860000000000003,2.1336,,
,,0.1524,2.1336,,
,,0.0762,2.1336,,
,,0.0,2.1336,,
,,-0.0762,2.1336,,
,,-0.1524,2.1336,,
,,-0.22860000000000003,2.1336,,
,,-0.3048,2.1336,,
,,-0.381,2.1336,,
,,-0.45720000000000005,2.1336,,
,,-0.5334,2.1336,,
,,-0.6096,2.1336,,
,,-0.6858000000000001,2.1336,,
,,-0.762,2.1336,,
,,-0.8382000000000001,2.1336,,
,,-0.9144000000000001,2.1336,,
,,0.9144000000000001,1.8288000000000002,,
,,0.8382000000000001,1.8288000000000002,,
,,0.762,1.8288000000000002,,
,,0.6858000000000001,1.8288000000000002,,
,,0.6096,1.8288000000000002,,
,,0.5334,1.8288000000000002,,
,,0.45720000000000005,1.8288000000000002,,
,,0.381,1.8288000000000002,,
,,0.3048,1.8288000000000002,,
,,0.22860000000000003,1.8288000000000002,,
,,0.1524,1.8288000000000002,,
,,0.0762,1.8288000000000002,,
,,0.0,1.8288000000000002,,
,,-0.0762,1.8288000000000002,,
,,-0.1524,1.8288000000000002,,
,,-0.22860000000000003,1.8288000000000002,,
,,-0.3048,1.8288000000000002,,
,,-0.381,1.8288000000000002,,
,,-0.45720000000000005,1.8288000000000002,,
,,-0.5334,1.8288000000000002,,
,,-0.6096,1.8288000000000002,,
,,-0.6858000000000001,1.8288000000000002,,
,,-0.762,1.8288000000000002,,
,,-0.8382000000000001,1.8288000000000002,,
,,-0.9144000000000001,1.8288000000000002,,
,,0.9144000000000001,1.524,,
,,0.8382000000000001,1.524,,
,,0.762,1.524,,
,,0.6858000000000001,1.524,,
,,0.6096,1.524,,
,,0.5334,1.524,,
,,0.45720000000000005,1.524,,
,,0.381,1.524,,
,,0.3048,1.524,,
,,0.22860000000000003,1.524,,
,,0.1524,1.524,,
,,0.0762,1.524,,
,,0.0,1.524,,
,,-0.0762,1.524,,
,,-0.1524,1.524,,
,,-0.22860000000000003,1.524,,
,,-0.3048,1.524,,
,,-0.381,1.524,,
,,-0.45720000000000005,1.524,,
,,-0.5334,1.524,,
,,-0.6096,1.524,,
,,-0.6858000000000001,1.524,,
,,-0.762,1.524,,
,,-0.8382000000000001,1.524,,
,,-0.9144000000000001,1.524,,
,,0.9144000000000001,1.2192,,
,,0.8382000000000001,1.2192,,
,,0.762,1.2192,,
,,0.6858000000000001,1.2192,,
,,0.6096,1.2192,,
,,0.5334,1.2192,,
,,0.45720000000000005,1.2192,,
,,0.381,1.2192,,
,,0.3048,1.2192,,
,,0.22860000000000003,1.2192,,
,,0.1524,1.2192,,
,,0.0762,1.2192,,
,,0.0,1.2192,,
,,-0.0762,1.2192,,
,,-0.1524,1.2192,,
,,-0.22860000000000003,1.2192,,
,,-0.3048,1.2192,,
,,-0.381,1.2192,,
,,-0.45720000000000005,1.2192,,
,,-0.5334,1.2192,,
,,-0.6096,1.2192,,
,,-0.6858000000000001,1.2192,,
,,-0.762,1.2192,,
,,-0.8382000000000001,1.2192,,
,,-0.9144000000000001,1.2192,,
,,0.9144000000000001,0.9144000000000001,,
,,0.8382000000000001,0.9144000000000001,,
,,0.762,0.9144000000000001,,
,,0.6858000000000001,0.9144000000000001,,
,,0.6096,0.9144000000000001,,
,,0.5334,0.9144000000000001,,
,,0.45720000000000005,0.9144000000000001,,
,,0.381,0.9144000000000001,,
,,0.3048,0.9144000000000001,,
,,0.22860000000000003,0.9144000000000001,,
,,0.1524,0.9144000000000001,,
,,0.0762,0.9144000000000001,,
,,0.0,0.9144000000000001,,
,,-0.0762,0.9144000000000001,,
,,-0.1524,0.9144000000000001,,
,,-0.22860000000000003,0.9144000000000001,,
,,-0.3048,0.9144000000000001,,
,,-0.381,0.9144000000000001,,
,,-0.45720000000000005,0.9144000000000001,,
,,-0.5334,0.9144000000000001,,
,,-0.6096,0.9144000000000001,,
,,-0.6858000000000001,0.9144000000000001,,
,,-0.762,0.9144000000000001,,
,,-0.8382000000000001,0.9144000000000001,,
,,-0.9144000000000001,0.9144000000000001,,
,,0.9144000000000001,0.6096,,
,,0.8382000000000001,0.6096,,
,,0.762,0.6096,,
,,0.6858000000000001,0.6096,,
,,0.6096,0.6096,,
,,0.5334,0.6096,,
,,0.45720000000000005,0.6096,,
,,0.381,0.6096,,
,,0.3048,0.6096,,
,,0.22860000000000003,0.6096,,
,,0.1524,0.6096,,
,,0.0762,0.6096,,
,,0.0,0.6096,,
,,-0.0762,0.6096,,
,,-0.1524,0.6096,,
,,-0.22860000000000003,0.6096,,
,,-0.3048,0.6096,,
,,-0.381,0.6096,,
,,-0.45720000000000005,0.6096,,
,,-0.5334,0.6096,,
,,-0.6096,0.6096,,
,,-0.6858000000000001,0.6096,,
,,-0.762,0.6096,,
,,-0.8382000000000001,0.6096,,
,,-0.9144000000000001,0.6096,,
,,0.9144000000000001,0.45720000000000005,,
,,0.8382000000000001,0.45720000000000005,,
,,0.762,0.45720000000000005,,
,,0.6858000000000001,0.45720000000000005,,
,,0.6096,0.45720000000000005,,
,,0.5334,0.45720000000000005,,
,,0.45720000000000005,0.45720000000000005,,
,,0.381,0.45720000000000005,,
,,0.3048,0.45720000000000005,,
,,0.22860000000000003,0.45720000000000005,,
,,0.1524,0.45720000000000005,,
,,0.0762,0.45720000000000005,,
,,0.0,0.45720000000000005,,
,,-0.0762,0.45720000000000005,,
,,-0.1524,0.45720000000000005,,
,,-0.22860000000000003,0.45720000000000005,,
,,-0.3048,0.45720000000000005,,
,,-0.381,0.45720000000000005,,
,,-0.45720000000000005,0.45720000000000005,,
,,-0.5334,0.45720000000000005,,
,,-0.6096,0.45720000000000005,,
,,-0.6858000000000001,0.45720000000000005,,
,,-0.762,0.45720000000000005,,
,,-0.8382000000000001,0.45720000000000005,,
,,-0.9144000000000001,0.45720000000000005,,
,,,,,
