time_s,cmd_cm_s
0.08292055130004883,80
0.11291956901550293,80
0.16077256202697754,80
0.20917558670043945,80
0.2583339214324951,80
0.30564332008361816,80
0.3535628318786621,80
0.40127038955688477,80
0.4496433734893799,80
0.4986228942871094,80
0.5483660697937012,80
0.6037259101867676,80
0.6480023860931396,80
0.7020986080169678,80
0.748647928237915,80
0.7977356910705566,80
0.8479058742523193,80
0.8982250690460205,80
0.9540014266967773,80
0.9979381561279297,80
1.0508909225463867,80
1.0987048149108887,80
1.1511778831481934,80
1.1984498500823975,80
1.2480876445770264,80
1.2987401485443115,80
1.34867262840271,80
1.4077143669128418,80
1.448089361190796,80
1.5008764266967773,80
1.548736572265625,80
1.598177194595337,80
1.6488299369812012,80
1.6981854438781738,80
1.75185227394104,80
1.7981376647949219,80
1.8509654998779297,80
1.8986480236053467,80
1.9484505653381348,80
1.9985356330871582,80
2.048703670501709,80
2.0980799198150635,80
2.1481661796569824,80
2.2072737216949463,80
2.24882173538208,80
2.3015801906585693,80
2.3484554290771484,80
2.3986732959747314,80
2.4480762481689453,80
2.498335838317871,80
2.5537490844726562,80
2.5984790325164795,80
2.6526424884796143,80
2.698267936706543,80
2.7479352951049805,80
2.798558473587036,80
2.8479809761047363,80
2.8978633880615234,80
2.947753429412842,80
3.0034353733062744,80
3.0486183166503906,80
3.1028099060058594,80
3.148237705230713,80
3.1977877616882324,80
3.247910499572754,80
3.298569917678833,80
3.357720136642456,80
3.397995948791504,80
3.453572988510132,80
3.498199462890625,80
3.5493061542510986,80
3.5977556705474854,80
3.6479856967926025,80
3.698779344558716,80
3.748809576034546,80
3.805931329727173,80
3.8487865924835205,80
3.90228533744812,80
3.9481358528137207,80
3.9985527992248535,80
4.048105955123901,80
4.098590612411499,80
4.154914140701294,80
4.198721170425415,80
4.252770900726318,80
4.298823356628418,80
4.352438688278198,80
4.398772478103638,80
4.448770046234131,80
4.4987709522247314,80
4.5486509799957275,80
4.603800058364868,80
4.648125410079956,80
4.701590061187744,80
4.748564720153809,80
4.798539161682129,80
4.847971200942993,80
4.898198366165161,80
4.954980134963989,80
4.998729228973389,80
5.053697109222412,80
5.097813844680786,80
5.149305105209351,80
5.198641300201416,80
5.24868631362915,-70
5.29813814163208,-70
5.348836183547974,-70
5.404548645019531,-70
5.4479405879974365,-70
5.501380920410156,-70
5.548225402832031,-70
5.598126173019409,-70
5.64824652671814,-70
5.698536157608032,-70
5.753544569015503,-70
5.798700571060181,-70
5.853624105453491,-70
5.897964715957642,-70
5.949928045272827,-70
5.998827695846558,-70
6.048460960388184,-70
6.0983076095581055,-70
6.147884368896484,-70
6.206141233444214,-70
6.248272895812988,-70
6.302122116088867,-70
6.348217964172363,-70
6.39793062210083,-70
6.447814464569092,-70
6.49822998046875,-70
6.556685447692871,-70
6.598292589187622,-70
6.65245509147644,-70
6.698153734207153,-70
6.749061584472656,-70
6.798398733139038,-70
6.848689079284668,-70
6.898285865783691,-70
6.948046684265137,-70
7.003161191940308,-70
7.048483610153198,-70
7.101716041564941,-70
7.148591756820679,-70
7.197989463806152,-70
7.248193025588989,-70
7.29878568649292,-70
7.355013370513916,-70
7.398297071456909,-70
7.452518463134766,-70
7.498669624328613,-70
7.551107406616211,-70
7.597987413406372,-70
7.648644208908081,-70
7.697831153869629,-70
7.7481842041015625,-70
7.803354978561401,-70
7.848754644393921,-70
7.900966167449951,-70
7.94835090637207,-70
7.9985246658325195,-70
8.048686981201172,-70
8.098639726638794,-70
8.153155326843262,-70
8.197846174240112,-70
8.252448081970215,-70
8.298792123794556,-70
8.348106861114502,-70
8.398540496826172,-70
8.447950601577759,-70
8.497992515563965,-70
8.548399448394775,-70
8.602347612380981,-70
8.648874998092651,-70
8.70279049873352,-70
8.74834132194519,-70
8.798046588897705,-70
8.848312139511108,-70
8.8983736038208,-70
8.954036235809326,-70
8.998701572418213,-70
9.053948402404785,-70
9.097870111465454,-70
9.152481317520142,-70
9.198636054992676,-70
9.24846601486206,-70
9.29827618598938,-70
9.34797739982605,-70
9.408308029174805,-70
9.448671817779541,-70
9.502097368240356,-70
9.548371315002441,-70
9.59874176979065,-70
9.648815870285034,-70
9.69862151145935,-70
9.755298376083374,-70
9.798133611679077,-70
9.852962970733643,-70
9.898041486740112,-70
9.950342893600464,-70
9.998693704605103,-70
10.047825574874878,-70
10.098095655441284,-70
10.147914171218872,-70
10.206105470657349,-70
10.248636484146118,0
10.30197262763977,0
10.348073720932007,0
10.404287576675415,0
10.448429822921753,0
10.498659133911133,0
10.557863235473633,0
10.59830904006958,0
10.653313636779785,0
10.698358058929443,0
10.748899459838867,0
10.798696756362915,0
10.849306344985962,0
10.89789628982544,0
10.94817590713501,0
11.003753185272217,0
11.047889947891235,0
11.100769519805908,0
11.148881196975708,0
11.198695421218872,0
11.24843955039978,0
11.298815488815308,0
11.353513479232788,0
11.398834466934204,0
11.454492568969727,0
11.49853777885437,0
11.54926085472107,0
11.598287582397461,0
11.648242950439453,0
11.697832584381104,0
11.74866509437561,0
