estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal,measured in ft,test1: stopsign longitudinal left
,,-0.6096,0.9144000000000001,,
,,-0.6858000000000001,0.9144000000000001,,
,,-0.762,0.9144000000000001,,
,,-0.8382000000000001,0.9144000000000001,,
,,-0.9144000000000001,0.9144000000000001,,
,,0.9144000000000001,0.6096,,
,,0.8382000000000001,0.6096,,
,,0.762,0.6096,,
,,0.6858000000000001,0.6096,,
,,0.6096,0.6096,,
,,0.5334,0.6096,,
,,0.45720000000000005,0.6096,,
,,0.381,0.6096,,
,,0.3048,0.6096,,
,,0.22860000000000003,0.6096,,
,,0.1524,0.6096,,
,,0.0762,0.6096,,
,,0.0,0.6096,,
,,-0.0762,0.6096,,
,,-0.1524,0.6096,,
,,-0.22860000000000003,0.6096,,
,,-0.3048,0.6096,,
,,-0.381,0.6096,,
,,-0.45720000000000005,0.6096,,
,,-0.5334,0.6096,,
,,-0.6096,0.6096,,
,,-0.6858000000000001,0.6096,,
,,-0.762,0.6096,,
,,-0.8382000000000001,0.6096,,
,,-0.9144000000000001,0.6096,,
,,0.9144000000000001,0.45720000000000005,,
,,0.8382000000000001,0.45720000000000005,,
,,0.762,0.45720000000000005,,
,,0.6858000000000001,0.45720000000000005,,
,,0.6096,0.45720000000000005,,
,,0.5334,0.45720000000000005,,
,,0.45720000000000005,0.45720000000000005,,
,,0.381,0.45720000000000005,,
,,0.3048,0.45720000000000005,,
,,0.22860000000000003,0.45720000000000005,,
,,0.1524,0.45720000000000005,,
,,0.0762,0.45720000000000005,,
,,0.0,0.45720000000000005,,
,,-0.0762,0.45720000000000005,,
,,-0.1524,0.45720000000000005,,
,,-0.22860000000000003,0.45720000000000005,,
,,-0.3048,0.45720000000000005,,
,,-0.381,0.45720000000000005,,
,,-0.45720000000000005,0.45720000000000005,,
,,-0.5334,0.45720000000000005,,
,,-0.6096,0.45720000000000005,,
,,-0.6858000000000001,0.45720000000000005,,
,,-0.762,0.45720000000000005,,
,,-0.8382000000000001,0.45720000000000005,,
,,-0.9144000000000001,0.45720000000000005,,
,,,,,
