time_s,enc_speed_cm_s,cmd_speed_cm_s
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.063,0.0
7.557868957519531e-05,-0.035,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,-0.033,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.044,0.0
7.557868957519531e-05,-0.047,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.074,0.0
7.557868957519531e-05,0.074,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.032,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,-0.258,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.051,0.0
7.557868957519531e-05,-0.049,0.0
7.557868957519531e-05,-0.049,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,-0.049,0.0
7.557868957519531e-05,-0.049,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.036,0.0
7.557868957519531e-05,-0.055,0.0
7.557868957519531e-05,-0.055,0.0
7.557868957519531e-05,0.112,0.0
7.557868957519531e-05,-0.071,0.0
7.557868957519531e-05,0.001,0.0
7.557868957519531e-05,0.001,0.0
7.557868957519531e-05,0.001,0.0
7.557868957519531e-05,0.001,0.0
7.557868957519531e-05,-0.024,0.0
7.557868957519531e-05,-0.024,0.0
7.557868957519531e-05,-0.024,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,-0.024,0.0
7.557868957519531e-05,-0.024,0.0
7.557868957519531e-05,0.044,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,-0.052,0.0
7.557868957519531e-05,0.017,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.017,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.017,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,-0.005,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.0,0.0
7.557868957519531e-05,0.058,0.0
7.557868957519531e-05,50.0,50.0
0.032529592514038086,50.0,50.0
0.05453848838806152,50.0,50.0
0.07453465461730957,50.0,50.0
0.09653854370117188,41.086,50.0
0.11853241920471191,49.524,50.0
0.140472412109375,49.234,50.0
0.1624751091003418,52.056,50.0
0.18242406845092773,51.158,50.0
0.2045280933380127,50.768,50.0
0.22640204429626465,50.966,50.0
0.24840736389160156,50.087,50.0
0.2684142589569092,50.429,50.0
0.29045891761779785,49.919,50.0
0.3104400634765625,52.028,50.0
0.33142828941345215,50.619,50.0
0.3514227867126465,51.147,50.0
0.3734250068664551,50.084,50.0
0.39341211318969727,50.199,50.0
0.41554856300354004,50.0,50.0
0.437542200088501,52.049,50.0
0.4594135284423828,52.463,50.0
0.4814472198486328,51.698,50.0
0.5024361610412598,51.499,50.0
0.5244555473327637,50.322,50.0
0.5444157123565674,52.099,50.0
0.5664618015289307,51.819,50.0
0.5885276794433594,51.566,50.0
0.6094272136688232,50.0,50.0
0.631446361541748,49.876,50.0
0.6534452438354492,51.379,50.0
0.6755421161651611,51.02,50.0
0.6954491138458252,52.209,50.0
0.7174439430236816,51.333,50.0
0.7394225597381592,52.387,50.0
0.7644391059875488,50.429,50.0
0.7844207286834717,51.007,50.0
0.8044135570526123,50.0,50.0
0.8264474868774414,50.817,50.0
0.8464615345001221,52.594,50.0
0.8674242496490479,51.541,50.0
0.8894517421722412,51.385,50.0
0.9114158153533936,50.832,50.0
0.9334137439727783,51.032,50.0
0.9554166793823242,50.292,50.0
0.9774003028869629,51.183,50.0
0.9974226951599121,50.0,50.0
1.0194158554077148,49.588,50.0
1.040419340133667,51.633,50.0
1.0624682903289795,51.607,50.0
