image,charuco_id,observed_u,observed_v,projected_u,projected_v,error_px
images/frame_006.png,25,966.454651,1016.475464,966.580200,1016.532776,0.138012
images/frame_006.png,26,1038.905640,1016.714539,1039.265747,1016.423706,0.462883
images/frame_006.png,27,1112.209229,1016.225647,1112.086670,1016.314453,0.151351
images/frame_006.png,28,661.356201,1044.218750,661.345215,1044.385376,0.166988
images/frame_006.png,29,736.719055,1044.188965,737.496948,1044.297852,0.785477
images/frame_006.png,30,814.040710,1044.096558,813.797974,1044.210327,0.268076
images/frame_006.png,31,889.607727,1044.387695,890.248596,1044.122437,0.693596
images/frame_006.png,32,966.983459,1043.716309,966.849426,1044.034546,0.345311
images/frame_006.png,33,1043.774048,1043.923218,1043.600708,1043.946411,0.174885
images/frame_006.png,34,1120.183594,1044.170288,1120.503174,1043.858032,0.446806
images/frame_007.png,2,841.151306,949.594910,840.784973,949.395691,0.416999
images/frame_007.png,3,903.621948,949.108276,903.302368,949.247864,0.348735
images/frame_007.png,11,965.989929,969.311279,966.119019,969.426086,0.172756
images/frame_007.png,18,966.062256,991.958130,966.338013,991.795654,0.320063
images/frame_007.png,19,1035.373901,991.779602,1035.366821,991.670166,0.109665
images/frame_007.png,20,1104.823486,991.008057,1104.517822,991.544495,0.617411
images/frame_007.png,25,966.452942,1016.436768,966.580200,1016.532776,0.159412
images/frame_007.png,26,1039.287231,1016.546570,1039.265747,1016.423706,0.124728
images/frame_007.png,27,1112.235474,1016.198364,1112.086670,1016.314453,0.188730
images/frame_007.png,32,966.938721,1043.878540,966.849426,1044.034546,0.179754
images/frame_007.png,33,1043.828247,1043.925049,1043.600708,1043.946411,0.228540
images/frame_007.png,34,1120.065796,1044.161255,1120.503174,1043.858032,0.532206
images/frame_008.png,2,841.035156,949.607300,840.784973,949.395691,0.327673
images/frame_008.png,8,770.147644,970.046936,769.613281,969.839539,0.573199
images/frame_008.png,19,1035.475830,991.817017,1035.366821,991.670166,0.182888
images/frame_008.png,20,1104.034180,991.072571,1104.517822,991.544495,0.675738
images/frame_008.png,26,1040.692627,1016.254333,1039.265747,1016.423706,1.436897
images/frame_008.png,27,1112.335815,1016.216614,1112.086670,1016.314453,0.267668
images/frame_008.png,28,661.337341,1044.303467,661.345215,1044.385376,0.082287
images/frame_008.png,29,737.095154,1044.146729,737.496948,1044.297852,0.429275
images/frame_008.png,30,814.080078,1044.064209,813.797974,1044.210327,0.317700
images/frame_008.png,31,890.432678,1044.409180,890.248596,1044.122437,0.340746
images/frame_008.png,32,966.955078,1043.864258,966.849426,1044.034546,0.200400
images/frame_008.png,33,1043.812134,1043.923218,1043.600708,1043.946411,0.212694
