t_s,cmd_speed_cm_s,cmd_steer_deg,enc_speed_cm_s,enc_cmd_speed_cm_s,yaw_deg
0.0000,5.0,-8.344650268554688e-06,-0.003,-4085.684,359.8
0.0740,5.0,-0.3700673580169678,-0.003,-4085.684,359.8
0.0791,5.0,-0.39551258087158203,-0.003,-4085.684,359.8
0.0842,5.0,-0.4209315776824951,0.503,-4079.355,359.8
0.0932,5.0,-0.46576857566833496,0.503,-4079.355,359.8
0.0982,5.0,-0.491180419921875,0.503,-4079.355,359.8
0.1042,5.0,-0.520777702331543,0.503,-4079.355,359.8
0.1108,5.0,-0.5540275573730469,0.763,-4075.752,359.8
0.1172,5.0,-0.5859982967376709,0.763,-4075.752,359.8
0.1223,5.0,-0.6114184856414795,0.763,-4075.752,359.8
0.1274,5.0,-0.6368124485015869,0.763,-4075.752,359.8
0.1324,5.0,-0.6621968746185303,1.22,-4069.688,359.8
0.1393,5.0,-0.696495771408081,1.22,-4069.688,359.8
0.1447,5.0,-0.7236623764038086,1.22,-4069.688,359.8
0.1498,5.0,-0.7490813732147217,1.22,-4069.688,359.8
0.1549,5.0,-0.7745468616485596,2.019,-4061.074,359.8
0.1635,5.0,-0.8174943923950195,2.019,-4061.074,359.8
0.1686,5.0,-0.8429074287414551,2.019,-4061.074,359.8
0.1737,5.0,-0.8683013916015625,2.041,-4056.24,359.8
0.1805,5.0,-0.9024035930633545,2.041,-4056.24,359.8
0.1859,5.0,-0.9293055534362793,2.041,-4056.24,359.8
0.1909,5.0,-0.9547102451324463,2.041,-4056.24,359.8
0.1960,5.0,-0.9801042079925537,2.041,-4056.24,359.8
0.2011,5.0,-1.0055756568908691,1.507,-4052.725,359.8
0.2088,5.0,-1.0441005229949951,1.507,-4052.725,359.8
0.2145,5.0,-1.0724210739135742,1.507,-4052.725,359.8
0.2196,5.0,-1.097862720489502,1.84,-4045.693,359.8
0.2261,5.0,-1.130683422088623,1.84,-4045.693,359.8
0.2312,5.0,-1.1560940742492676,1.84,-4045.693,359.8
0.2363,5.0,-1.1814916133880615,1.84,-4045.693,359.8
0.2414,5.0,-1.206953525543213,2.886,-4032.246,359.8
0.2484,5.0,-1.2419772148132324,2.886,-4032.246,359.8
0.2538,5.0,-1.268998384475708,2.886,-4032.246,359.8
0.2589,5.0,-1.2944376468658447,2.886,-4032.246,359.8
0.2640,5.0,-1.319955587387085,3.213,-4023.281,359.8
0.2732,5.0,-1.3660717010498047,3.213,-4023.281,359.8
0.2783,5.0,-1.3915014266967773,3.213,-4023.281,359.8
0.2834,5.0,-1.4169132709503174,2.723,-4017.217,359.8
0.2892,5.0,-1.4461135864257812,2.723,-4017.217,359.8
0.2946,5.0,-1.4730167388916016,2.723,-4017.217,359.8
0.2997,5.0,-1.4984452724456787,2.723,-4017.217,359.8
0.3048,5.0,-1.5238392353057861,2.694,-4007.549,359.8
0.3132,5.0,-1.5660536289215088,2.694,-4007.549,359.8
0.3186,5.0,-1.5929591655731201,2.694,-4007.549,359.8
0.3242,5.0,-1.6210532188415527,2.694,-4007.549,359.8
0.3293,5.0,-1.6464579105377197,3.054,-3997.09,359.8
0.3391,5.0,-1.695331335067749,3.054,-3997.09,359.8
0.3442,5.0,-1.7207622528076172,3.054,-3997.09,359.8
0.3492,5.0,-1.7461574077606201,2.282,-3993.398,359.8
0.3572,5.0,-1.7860150337219238,2.282,-3993.398,359.8
0.3627,5.0,-1.8132531642913818,2.282,-3993.398,359.8
0.3677,5.0,-1.8386876583099365,2.282,-3993.398,359.8
0.3728,5.0,-1.8641114234924316,1.919,-3988.389,359.8
0.3832,5.0,-1.9157731533050537,1.919,-3988.389,359.8
0.3882,5.0,-1.9411873817443848,1.919,-3988.389,359.8
0.3933,5.0,-1.9665956497192383,1.736,-3984.346,359.8
0.4010,5.0,-2.0052099227905273,1.736,-3984.346,359.8
0.4076,5.0,-2.0380330085754395,1.736,-3984.346,359.8
0.4127,5.0,-2.063462734222412,1.736,-3984.346,359.8
0.4178,5.0,-2.088865041732788,1.916,-3976.875,359.8
0.4235,5.0,-2.1174979209899902,1.916,-3976.875,359.8
0.4289,5.0,-2.1443557739257812,1.916,-3976.875,359.8
0.4345,5.0,-2.172365188598633,1.916,-3976.875,359.8
0.4396,5.0,-2.197777032852173,1.785,-3971.865,359.8
0.4492,5.0,-2.246040105819702,1.785,-3971.865,359.8
0.4543,5.0,-2.2714614868164062,1.785,-3971.865,359.8
0.4594,5.0,-2.2968828678131104,1.785,-3971.865,359.8
0.4645,5.0,-2.3222696781158447,1.482,-3968.174,359.8
0.4732,5.0,-2.366001605987549,1.482,-3968.174,359.8
0.4783,5.0,-2.3914146423339844,1.482,-3968.174,359.8
0.4834,5.0,-2.4168145656585693,1.391,-3963.691,359.8
0.4942,5.0,-2.4712109565734863,1.391,-3963.691,359.8
0.4993,5.0,-2.496635913848877,1.391,-3963.691,359.8
0.5044,5.0,-2.5220656394958496,1.391,-3963.691,359.8
0.5111,5.0,-2.5552892684936523,2.126,-3953.76,359.8
0.5171,5.0,-2.5856447219848633,2.126,-3953.76,359.8
0.5223,5.0,-2.6115071773529053,2.126,-3953.76,359.8
0.5274,5.0,-2.637120485305786,3.217,-3940.664,359.8
0.5351,5.0,-2.6755309104919434,3.217,-3940.664,359.8
0.5423,5.0,-2.7114665508270264,3.217,-3940.664,359.8
0.5474,5.0,-2.737168073654175,3.217,-3940.664,359.8
0.5526,5.0,-2.762819528579712,4.032,-3925.02,359.8
0.5612,5.0,-2.805793285369873,4.032,-3925.02,359.8
0.5662,5.0,-2.8312110900878906,4.032,-3925.02,359.8
0.5713,5.0,-2.8566277027130127,4.032,-3925.02,359.8
0.5764,5.0,-2.8820431232452393,4.601,-3907.705,359.8
0.5849,5.0,-2.924717664718628,4.601,-3907.705,359.8
0.5902,5.0,-2.951192855834961,4.601,-3907.705,359.8
0.5954,5.0,-2.9769694805145264,4.512,-3896.104,359.8
0.6049,5.0,-3.0247485637664795,4.512,-3896.104,359.8
0.6115,5.0,-3.057739734649658,4.512,-3896.104,359.8
0.6166,5.0,-3.0831682682037354,4.512,-3896.104,359.8
0.6217,5.0,-3.108564615249634,4.094,-3883.711,359.8
0.6289,5.0,-3.144611120223999,4.094,-3883.711,359.8
0.6340,5.0,-3.1700265407562256,4.094,-3883.711,359.8
0.6391,5.0,-3.1954240798950195,3.487,-3876.24,359.8
0.6519,5.0,-3.259296417236328,3.487,-3876.24,359.8
0.6569,5.0,-3.2847070693969727,3.487,-3876.24,359.8
0.6620,5.0,-3.310091495513916,3.487,-3876.24,359.8
0.6671,5.0,-3.335510492324829,3.429,-3863.848,359.8
0.6731,5.0,-3.3656251430511475,3.429,-3863.848,359.8
0.6782,5.0,-3.391042947769165,3.429,-3863.848,359.8
0.6833,5.0,-3.416435718536377,3.429,-3863.848,359.8
0.6884,5.0,-3.441823720932007,4.026,-3848.379,359.8
0.6971,5.0,-3.4854602813720703,4.026,-3848.379,359.8
0.7041,5.0,-3.520282506942749,4.026,-3848.379,359.8
0.7106,5.0,-3.5532307624816895,4.254,-3835.723,359.8
0.7171,5.0,-3.5853588581085205,4.254,-3835.723,359.8
0.7222,5.0,-3.6111044883728027,4.254,-3835.723,359.8
0.7274,5.0,-3.6368775367736816,4.254,-3835.723,359.8
0.7325,5.0,-3.6623787879943848,4.524,-3820.254,359.8
0.7409,5.0,-3.7043845653533936,4.524,-3820.254,359.8
0.7460,5.0,-3.7298166751861572,4.524,-3820.254,359.8
0.7510,5.0,-3.7552380561828613,4.524,-3820.254,359.8
0.7561,5.0,-3.780696392059326,3.942,-3810.586,359.8
0.7638,5.0,-3.819122314453125,3.942,-3810.586,359.8
0.7689,5.0,-3.844550848007202,3.942,-3810.586,359.8
0.7740,5.0,-3.8699793815612793,3.942,-3810.586,359.8
0.7791,5.0,-3.8954150676727295,2.846,-3805.225,359.8
0.7862,5.0,-3.931039571762085,2.846,-3805.225,359.8
0.7913,5.0,-3.95652174949646,2.846,-3805.225,359.8
0.7964,5.0,-3.9819419384002686,2.846,-3805.225,359.8
0.8015,5.0,-4.007335901260376,2.329,-3797.314,359.8
0.8120,5.0,-4.059760570526123,2.329,-3797.314,359.8
0.8170,5.0,-4.0852367877960205,2.329,-3797.314,359.8
0.8221,5.0,-4.110736846923828,2.208,-3792.568,359.8
0.8298,5.0,-4.149097204208374,2.208,-3792.568,359.8
0.8349,5.0,-4.174549579620361,2.208,-3792.568,359.8
0.8400,5.0,-4.199948310852051,2.208,-3792.568,359.8
0.8451,5.0,-4.225342273712158,2.13,-3784.746,359.8
0.8538,5.0,-4.268984794616699,2.13,-3784.746,359.8
